loss,iou,precision,recall,f1_score,val_loss,val_iou,val_precision,val_recall,val_f1_score,lr
1.5592225790023804,0.3790665864944458,0.14683766663074493,0.8702107071876526,0.27041760087013245,1.5563147068023682,0.49939653277397156,0.2035677433013916,0.24621938169002533,0.2211601585149765,0.0002
1.256822109222412,0.5744484066963196,0.31365257501602173,0.9000114798545837,0.46590569615364075,1.4900410175323486,0.46553927659988403,0.2031324952840805,0.004577436484396458,0.008487149141728878,0.0002
1.1231355667114258,0.662085771560669,0.44310611486434937,0.867709755897522,0.5872984528541565,1.4057670831680298,0.46379685401916504,0.10470409691333771,4.14166170230601e-05,7.772416574880481e-05,0.0002
1.0473992824554443,0.7257688045501709,0.554893970489502,0.8718988299369812,0.6784413456916809,1.3189140558242798,0.46378692984580994,0.0,0.0,0.0,0.0002
0.9999474287033081,0.7590968608856201,0.6153832077980042,0.8806837797164917,0.7249550819396973,1.2413402795791626,0.4638518989086151,0.9950494766235352,0.00012064840120729059,0.00022527488181367517,0.0002
0.9562192559242249,0.7921741008758545,0.6736307740211487,0.895331084728241,0.7677051424980164,1.1850457191467285,0.4652460515499115,0.9836030006408691,0.0027364979032427073,0.005289528053253889,0.0002
0.9289259314537048,0.80499267578125,0.7005196213722229,0.8931974768638611,0.7837476134300232,1.1454817056655884,0.47628048062324524,0.9567564725875854,0.023506030440330505,0.045549437403678894,0.0002
0.8962161540985107,0.8223586678504944,0.7288928627967834,0.904672384262085,0.8061734437942505,1.1136486530303955,0.46958425641059875,0.9132939577102661,0.010944190435111523,0.021866612136363983,0.0002
0.8674173951148987,0.83635413646698,0.7545462250709534,0.9089813232421875,0.823518693447113,1.0920699834823608,0.4747236371040344,0.8864243030548096,0.02072511427104473,0.040893908590078354,0.0002
0.8438072800636292,0.8433334827423096,0.7661495208740234,0.9128768444061279,0.8304638862609863,1.083420753479004,0.47995713353157043,0.5586766600608826,0.032841574400663376,0.06226487457752228,0.0002
0.8183742165565491,0.8517124652862549,0.7796836495399475,0.91796875,0.8414716720581055,1.0670428276062012,0.4789503514766693,0.7742684483528137,0.029223324730992317,0.05513767898082733,0.0002
0.7968507409095764,0.8547112941741943,0.7871158123016357,0.9160638451576233,0.8445234298706055,1.068086862564087,0.4697384238243103,0.8656908869743347,0.011289329268038273,0.021353829652071,0.0002
0.7695930600166321,0.8661421537399292,0.8054015636444092,0.9229759573936462,0.8586245775222778,1.0070431232452393,0.5322742462158203,0.8462470769882202,0.13285790383815765,0.22962737083435059,0.0002
0.74583899974823,0.8690205812454224,0.8091364502906799,0.9258328080177307,0.8623803853988647,0.994735598564148,0.5333312749862671,0.8324040174484253,0.13548815250396729,0.23375238478183746,0.0002
0.7237697243690491,0.8742772340774536,0.8205538988113403,0.9248487949371338,0.8683249354362488,0.8940902948379517,0.6393316984176636,0.8169455528259277,0.35904064774513245,0.4991709887981415,0.0002
0.7011935710906982,0.8785353899002075,0.8269582986831665,0.9277976751327515,0.8734893798828125,0.8786336183547974,0.6396673321723938,0.8491036891937256,0.35291817784309387,0.49742239713668823,0.0002
0.6786828637123108,0.8840039968490601,0.8356986045837402,0.9308369755744934,0.8792593479156494,0.8111261129379272,0.6964184641838074,0.8339330554008484,0.48101678490638733,0.6078512668609619,0.0002
0.6556909084320068,0.8873893618583679,0.8424850702285767,0.9309484362602234,0.8835979104042053,0.7522916793823242,0.7418003678321838,0.8017725348472595,0.6032354235649109,0.6883642673492432,0.0002
0.6338707208633423,0.891313910484314,0.8478789329528809,0.93415766954422,0.8879162669181824,0.721733808517456,0.7542592883110046,0.8136071562767029,0.6263512969017029,0.7065363526344299,0.0002
0.6165083050727844,0.8913422226905823,0.8510127067565918,0.9303598999977112,0.8877439498901367,0.7496263384819031,0.7119507789611816,0.7386311888694763,0.5663344264030457,0.6414605379104614,0.0002
0.599498450756073,0.8901781439781189,0.8538828492164612,0.9239801168441772,0.885013997554779,0.7242668271064758,0.7202376127243042,0.8526039719581604,0.5269508361816406,0.6514057517051697,0.0002
0.5752660036087036,0.8976379632949829,0.8632691502571106,0.931101381778717,0.8935660123825073,0.6729329824447632,0.7552558183670044,0.8203439712524414,0.6245055794715881,0.7094430327415466,0.0002
0.553658664226532,0.901650607585907,0.8676734566688538,0.9355995655059814,0.899294912815094,0.6081796884536743,0.8024688363075256,0.8429728746414185,0.7220633029937744,0.7784507870674133,0.0002
0.532869279384613,0.9059937000274658,0.8749445676803589,0.9374372363090515,0.9028298854827881,0.5702627897262573,0.819075882434845,0.820322573184967,0.7825015187263489,0.8012281656265259,0.0002
0.5124275088310242,0.908660888671875,0.8791390657424927,0.9388630986213684,0.9072819352149963,0.5320320725440979,0.8272322416305542,0.8330356478691101,0.7909313440322876,0.8115991950035095,0.0002
0.48401233553886414,0.9107609391212463,0.8826061487197876,0.9397829174995422,0.9092558026313782,0.5171288251876831,0.8330209255218506,0.7904775142669678,0.8518017530441284,0.8199473023414612,0.0002
0.47132399678230286,0.9007925987243652,0.871289074420929,0.9292894601821899,0.8989033699035645,0.49006766080856323,0.8495105504989624,0.8757856488227844,0.805335283279419,0.8399431109428406,0.0002
0.44270461797714233,0.9104444980621338,0.8853394985198975,0.9359108209609985,0.9097668528556824,0.5150730013847351,0.815118670463562,0.8429755568504333,0.7524324655532837,0.7957073450088501,0.0002
0.423859179019928,0.9137473106384277,0.8918066024780273,0.9362394213676453,0.9125202894210815,0.4808194935321808,0.8344022035598755,0.836632251739502,0.8052986860275269,0.8212982416152954,0.0002
0.40563511848449707,0.9166272282600403,0.895431399345398,0.9387714266777039,0.9162867665290833,0.4634658396244049,0.8336321115493774,0.8208186626434326,0.819232702255249,0.820509672164917,0.0002
0.3912060856819153,0.9171450138092041,0.8973701596260071,0.9377900958061218,0.9167836308479309,0.41294142603874207,0.8625631928443909,0.837786853313446,0.8745670914649963,0.8567092418670654,0.0002
0.3780374228954315,0.9173746705055237,0.9003908634185791,0.9349784851074219,0.9169989228248596,0.4668354392051697,0.8196471929550171,0.8433198928833008,0.7630753517150879,0.8013727068901062,0.0002
0.3613578975200653,0.9196301698684692,0.9017202258110046,0.9385998845100403,0.91933274269104,0.39881041646003723,0.8595606088638306,0.8781251907348633,0.8263563513755798,0.852034330368042,0.0002
0.34417620301246643,0.9233611822128296,0.907813549041748,0.9402769207954407,0.9235871434211731,0.46605944633483887,0.8074347972869873,0.8486262559890747,0.729499101638794,0.7847253680229187,0.0002
0.3314519226551056,0.9248853325843811,0.9095270037651062,0.941795825958252,0.9249200820922852,0.41923069953918457,0.8314113616943359,0.8848153352737427,0.756889283657074,0.8162806034088135,0.0002
0.31909245252609253,0.9262542724609375,0.9138700366020203,0.9401243329048157,0.9266173243522644,0.3767944574356079,0.8534904718399048,0.8802115321159363,0.8105754256248474,0.8446350693702698,0.0002
0.3086116909980774,0.9266022443771362,0.9131199717521667,0.9416958093643188,0.9264401197433472,0.4107765853404999,0.824580192565918,0.8734774589538574,0.7501371502876282,0.8076828122138977,0.0002
0.2965475618839264,0.9285119771957397,0.9175941348075867,0.9410815238952637,0.928716778755188,0.36725687980651855,0.847793698310852,0.8880356550216675,0.7910429835319519,0.837597131729126,0.0002
0.286049485206604,0.9293738007545471,0.9187290072441101,0.9417493939399719,0.9295451641082764,0.37112417817115784,0.8415213227272034,0.9061986804008484,0.7631251811981201,0.829057514667511,0.0002
0.27478861808776855,0.9303823709487915,0.9205097556114197,0.9420474171638489,0.9311076402664185,0.36389052867889404,0.841652512550354,0.875374436378479,0.7876455783843994,0.8299278616905212,0.0002
0.26632219552993774,0.9306255578994751,0.9205693602561951,0.9425110816955566,0.9311267137527466,0.3986041843891144,0.8168765306472778,0.8854480981826782,0.7240146994590759,0.7965311408042908,0.0002
0.2543479800224304,0.9318259954452515,0.9224191904067993,0.9431473612785339,0.9325195550918579,0.3211080729961395,0.8579236268997192,0.8938806653022766,0.8087998628616333,0.8498441576957703,0.0002
0.24245712161064148,0.9322397112846375,0.9238000512123108,0.9425811171531677,0.9324309229850769,0.2881653308868408,0.8749769926071167,0.8701763153076172,0.8699830174446106,0.8705605864524841,0.0002
0.23000609874725342,0.9331512451171875,0.9255034327507019,0.9427483677864075,0.9336450099945068,0.31323865056037903,0.8561993837356567,0.845556378364563,0.8502333164215088,0.8493004441261292,0.0002
0.2220390886068344,0.9337279796600342,0.9268532991409302,0.9425693154335022,0.9342495799064636,0.32554975152015686,0.8484624028205872,0.8990122079849243,0.7837032079696655,0.8378068804740906,0.0002
0.21217089891433716,0.9351779222488403,0.9297893047332764,0.9426011443138123,0.9356241226196289,0.31273096799850464,0.8515886664390564,0.8771544098854065,0.8089079260826111,0.8423134088516235,0.0002
0.20644398033618927,0.9353799819946289,0.9289169311523438,0.9439405202865601,0.9359644651412964,0.318482905626297,0.846458911895752,0.9028195738792419,0.7763688564300537,0.8353133797645569,0.0002
0.20072509348392487,0.9367421865463257,0.9312775135040283,0.9443778991699219,0.9369013905525208,0.2925693690776825,0.8599041700363159,0.887830376625061,0.8184457421302795,0.8525278568267822,4e-05
0.1974627524614334,0.9380967020988464,0.9329482316970825,0.9455112218856812,0.9379205703735352,0.2965623438358307,0.857459545135498,0.8990606665611267,0.8034487366676331,0.8491533398628235,4e-05
0.19688746333122253,0.9380506277084351,0.9337909817695618,0.9445405006408691,0.93887859582901,0.2817901074886322,0.8647664785385132,0.8883774876594543,0.8289307951927185,0.8585806488990784,4e-05
0.19645583629608154,0.9381928443908691,0.9337533116340637,0.9448797702789307,0.9388940334320068,0.2837088108062744,0.8638477921485901,0.8872058391571045,0.8279067277908325,0.8573700189590454,4e-05
0.1937808394432068,0.9388611316680908,0.9334158301353455,0.946641743183136,0.9394540786743164,0.2888946533203125,0.8608730435371399,0.8941050171852112,0.815176248550415,0.8535303473472595,4e-05
0.19207526743412018,0.9390345811843872,0.9342595934867859,0.9461323022842407,0.9397987723350525,0.27540117502212524,0.8674114346504211,0.8871516585350037,0.836023211479187,0.861804187297821,4e-05
0.1920565813779831,0.9390309453010559,0.9339330196380615,0.9464632272720337,0.9392953515052795,0.26560571789741516,0.8726828694343567,0.8865503668785095,0.8485478162765503,0.8678524494171143,4e-05
0.18974246084690094,0.9392805695533752,0.9342347979545593,0.9466769099235535,0.9400662183761597,0.27752211689949036,0.865523099899292,0.8937044143676758,0.8258965611457825,0.8594558835029602,4e-05
0.18860462307929993,0.9394609332084656,0.9348573684692383,0.9464117884635925,0.9399775266647339,0.2722337543964386,0.8680888414382935,0.8906988501548767,0.8343281149864197,0.8625325560569763,4e-05
0.18686652183532715,0.9399330615997314,0.93548583984375,0.9467553496360779,0.9409109950065613,0.2651274502277374,0.8715553283691406,0.8947361707687378,0.8384541869163513,0.8667007088661194,4e-05
0.18595191836357117,0.9400579929351807,0.9365108013153076,0.9459595084190369,0.9408235549926758,0.280426949262619,0.8632048964500427,0.8897699117660522,0.8241714835166931,0.8565101027488708,4e-05
0.18538840115070343,0.9399093389511108,0.9343735575675964,0.9478595852851868,0.9396690726280212,0.26672136783599854,0.8703558444976807,0.8861279487609863,0.8436522483825684,0.8653566837310791,4e-05
0.18389779329299927,0.9402590990066528,0.9360131621360779,0.9468957781791687,0.9401916861534119,0.2684117555618286,0.8685683012008667,0.8828300833702087,0.8426612615585327,0.863304853439331,4e-05
0.18304455280303955,0.9398794174194336,0.9362293481826782,0.9458745121955872,0.9407112002372742,0.26397648453712463,0.8705093264579773,0.891521155834198,0.8390262126922607,0.8654049038887024,4e-05
0.18150025606155396,0.9404017925262451,0.9357845783233643,0.9474326968193054,0.9406030178070068,0.2599232792854309,0.8727254867553711,0.8885901570320129,0.8467308878898621,0.8681859374046326,4e-05
0.18074829876422882,0.9406614899635315,0.9371498823165894,0.9465674161911011,0.9415251016616821,0.25937896966934204,0.8725021481513977,0.8854668736457825,0.8491594791412354,0.8679894804954529,4e-05
0.17845958471298218,0.9410337209701538,0.9380991458892822,0.9463703036308289,0.9421815276145935,0.2544253170490265,0.8746472597122192,0.8760228157043457,0.8632831573486328,0.870905339717865,4e-05
0.17728523910045624,0.9411298036575317,0.9369969367980957,0.947708249092102,0.9419117569923401,0.24713461101055145,0.8788514137268066,0.8876534700393677,0.8615262508392334,0.8754184246063232,4e-05
0.1768864095211029,0.9408063292503357,0.9366210103034973,0.9474173784255981,0.9414005875587463,0.252885639667511,0.8753365278244019,0.8952692151069641,0.8464205861091614,0.8711221814155579,4e-05
0.17482556402683258,0.9414278268814087,0.9383400082588196,0.9469478130340576,0.9418667554855347,0.251332551240921,0.8758235573768616,0.8801417946815491,0.8619223833084106,0.8719457387924194,4e-05
0.17393584549427032,0.9413644075393677,0.9373205304145813,0.9478660225868225,0.9424195885658264,0.2577644884586334,0.8722674250602722,0.8938028812408447,0.840893566608429,0.8674650192260742,4e-05
0.1735394448041916,0.9415836930274963,0.9382312893867493,0.9473857283592224,0.9422945976257324,0.2648129165172577,0.8677105903625488,0.8918389081954956,0.8324517607688904,0.8620498180389404,4e-05
0.1715770959854126,0.9421188235282898,0.9388599991798401,0.9478585124015808,0.9428965449333191,0.2595658302307129,0.8706074953079224,0.8892444372177124,0.8413335680961609,0.8655670285224915,8e-06
0.17089441418647766,0.9421815872192383,0.9383516311645508,0.9485135078430176,0.9430401921272278,0.2524612545967102,0.8745764493942261,0.8881704211235046,0.8513203263282776,0.8703202605247498,8e-06
0.17208613455295563,0.9419366121292114,0.9391963481903076,0.9471316337585449,0.942908763885498,0.2513081431388855,0.8750799298286438,0.8899204134941101,0.8508119583129883,0.870873212814331,8e-06
0.17042407393455505,0.941864013671875,0.9367882013320923,0.9494655132293701,0.942674994468689,0.24842678010463715,0.8766050338745117,0.8893837928771973,0.8547693490982056,0.8727700710296631,8e-06
0.17235957086086273,0.9419384002685547,0.9388517737388611,0.9474895596504211,0.9427410960197449,0.2475893348455429,0.8769206404685974,0.8883053064346313,0.8565118312835693,0.8731834888458252,1.6e-06
0.16986124217510223,0.942290186882019,0.9386125802993774,0.9484719038009644,0.9429919123649597,0.24710458517074585,0.8771706819534302,0.8866906762123108,0.8586294651031494,0.8735172152519226,1.6e-06
0.1698453575372696,0.9422816038131714,0.9385709166526794,0.94849693775177,0.9432530403137207,0.2471695989370346,0.8770720362663269,0.8858981728553772,0.8591691255569458,0.8734233379364014,1.6e-06
0.16994468867778778,0.9423421621322632,0.938860297203064,0.9483248591423035,0.9436842799186707,0.24642352759838104,0.8774454593658447,0.8861584067344666,0.859769344329834,0.8738717436790466,1.6e-06
0.1708495169878006,0.9421374797821045,0.9386612772941589,0.9481020569801331,0.9427435398101807,0.24613621830940247,0.8776280283927917,0.8847799301147461,0.8615244626998901,0.8741306662559509,1.6e-06
0.1708698272705078,0.9419592022895813,0.9387868046760559,0.9475997686386108,0.9428242444992065,0.24642853438854218,0.8774666786193848,0.8846287727355957,0.861302375793457,0.8739500641822815,1.6e-06
0.16978591680526733,0.9423947334289551,0.9391540288925171,0.9481323957443237,0.9430863857269287,0.2456708550453186,0.8779079914093018,0.8852975368499756,0.8616607189178467,0.8744537234306335,1.6e-06
0.16997794806957245,0.9424537420272827,0.9393332600593567,0.9480714797973633,0.9433037042617798,0.24612469971179962,0.8776330947875977,0.8858376145362854,0.8605082631111145,0.8741171360015869,1.6e-06
0.16989193856716156,0.9422646760940552,0.9383700489997864,0.9486685991287231,0.9433695673942566,0.24674822390079498,0.8772554397583008,0.8860235810279846,0.8594661951065063,0.8736523985862732,1.6e-06
0.1693919450044632,0.9423196911811829,0.938879668712616,0.9482580423355103,0.9433554410934448,0.24620623886585236,0.8775190114974976,0.8855728507041931,0.8605046272277832,0.8739945888519287,1.6e-06
0.16923004388809204,0.9425947666168213,0.9391125440597534,0.9485931992530823,0.9435697793960571,0.24660003185272217,0.877284586429596,0.8866196870803833,0.8589572310447693,0.8736928701400757,1.6e-06
0.17124618589878082,0.9418649673461914,0.9382782578468323,0.94792640209198,0.9425650238990784,0.24659545719623566,0.8773000240325928,0.8866460919380188,0.8589668273925781,0.8737079501152039,3.2e-07
0.16964715719223022,0.942267656326294,0.9389854669570923,0.9480403661727905,0.9432571530342102,0.24708285927772522,0.8770381212234497,0.8864721655845642,0.8585376739501953,0.8733987212181091,3.2e-07
0.17002013325691223,0.9421987533569336,0.9392247796058655,0.9476500153541565,0.9428755640983582,0.24657048285007477,0.8773144483566284,0.8863343000411987,0.8593005537986755,0.8737308382987976,3.2e-07
0.16936568915843964,0.9424431324005127,0.938904881477356,0.9484903216362,0.9434725642204285,0.2472160905599594,0.8768951892852783,0.8861753344535828,0.8584980368614197,0.8732394576072693,3.2e-07
0.1704060137271881,0.9422833919525146,0.9387529492378235,0.9483128786087036,0.9430848956108093,0.24705471098423004,0.8770012259483337,0.8858943581581116,0.8590112328529358,0.8733701109886169,1e-07
0.17041857540607452,0.9419877529144287,0.93831866979599,0.9481420516967773,0.9427034258842468,0.24724559485912323,0.8768701553344727,0.8861683011054993,0.8584476113319397,0.8732110857963562,1e-07
